subject	hemi	CA1	CA2	CA4_DG	CA3	Tail	Sub	SRLM	Cyst
sub-9157179	R	555.272753065452	65.89897248893976	297.1652652323246	126.85313785262406	246.73013990558684	500.2504489012063	480.5522828120738	6.289489487186074
sub-7627786	L	523.4716789145023	50.36352589447051	332.64627247909084	119.19018114544453	373.04867305699736	644.9745195996948	546.3074037306942	5.192755131516606
sub-7627786	R	493.9316256181337	54.44048240268603	333.7811445831321	150.59943555435166	337.4146426641382	705.8523017521948	550.0267324750312	10.838505430612711
sub-9460079	L	534.233629565686	61.18292796984315	316.2047776840627	125.36515932157636	234.45587914809585	382.0130224749446	443.2722443304956	27.995087686926126
sub-9460079	R	498.62345841154456	64.66860487312078	280.4753973335028	133.79086532443762	224.16574131324887	397.0906016379595	447.25859985873103	19.24513266980648
sub-8913388	L	732.9451074916869	49.80555362533778	347.20836641732603	129.29893653467298	482.86353109776974	812.6149198394269	684.4699271991849	19.85546436533332
sub-8913388	R	722.4737819042057	57.98806487675756	352.1913059614599	148.4439147831872	386.633193355985	882.4046836365014	715.5358134480193	20.055735619738694
sub-8623581	L	704.3750700065866	72.4411788918078	314.617494950071	111.98532690061256	330.7584500941448	480.73343419795856	551.076527339872	17.60961516899988
sub-8623581	R	878.9071941375732	106.61613473156469	258.0502421068959	169.14862683182582	282.5406248602085	397.53956583794206	574.7133706631139	31.54281189898029
sub-6604264	L	541.3578883456066	51.84172571450472	285.6587805720046	116.686798193492	350.1223833989352	504.703423153609	523.9294936172664	2.9611581740900874
sub-6604264	R	654.5303973695263	44.7416218155995	241.19849262479693	146.6941546984017	321.85548218153417	591.2970341704786	561.8809556262568	11.3773323725909
sub-7131454	L	536.7473456766456	50.7212031907402	290.0077894949354	118.851742928382	379.7056886414066	591.9460528437048	524.587989830412	13.766298167873174
sub-7131454	R	554.328343717847	54.83154230425134	291.7244044379331	135.3026361321099	234.36085509276015	600.6054215561599	510.3019388047978	12.993821443524212
sub-7243263	L	500.9983991580084	53.51065544225276	263.18544969521463	116.64865122828633	390.8776473505423	697.4791118204594	546.9082717830315	10.25676526967436
sub-7243263	R	538.6971375225112	56.638706589117646	302.8487567678094	127.26781266741456	270.99604082107544	662.0453495150432	522.7135591013357	16.899105586111546
sub-8867610	L	395.5414614905603	46.93034519162029	221.8915548818186	93.3886212739162	254.72658404149115	344.57707118289545	319.2188537749462	35.98215655516833
sub-8867610	R	417.8383822501637	113.3204281120561	284.3048131843097	213.64226640574637	270.17135015362874	363.36923643387854	404.01963195903227	13.189324812032282
sub-7620469	L	179.34301340393722	71.34906036965549	133.05171633325517	91.15685270912944	122.0034123249352	312.8286510426551	256.976780153811	0.1621244437992572
sub-7620469	R	269.369763372466	139.0407840218395	193.24756864272055	218.96336644887924	172.3192102946341	249.8003893326968	324.92122720368207	1.2493118904531002
sub-7175272	L	650.2495435401797	59.54751735925674	285.0393934324384	149.27887399494648	320.44460774958134	395.8088383600116	471.9217044785619	1.49727101624012
sub-7175272	R	675.9177278727293	50.902446173131466	285.363643206656	157.22299346327782	307.96575982123613	588.1604801565409	583.0583145916462	1.98841405659914
sub-7670989	L	563.0928916241974	48.80434033460915	379.3863927740604	153.4511457066983	394.4163176137954	638.5000081900507	620.8713177926838	15.831012204289436
sub-7670989	R	698.8438212759793	53.85882013477385	395.8706726506352	172.40544495731592	299.8641667105257	620.270502269268	612.3168491497636	21.677042614668608
sub-7567693	L	542.3458944112062	75.5501973927021	180.0349187552929	100.07397075742485	94.81444868445396	219.23099440336227	328.5985358953476	0.0
sub-7567693	R	483.6471485197544	96.57874892652036	270.6293519958854	126.8722609207034	128.2360173240304	403.3905610218644	428.24335253983736	3.170972056686878
sub-9548396	L	637.3315690653399	58.5079707344994	326.3381011513993	136.7379436660558	418.935190286953	689.2019607238472	602.2124814973213	25.23901296639815
sub-9548396	R	567.8706391802989	61.94596966682002	317.4212384559214	136.80470092687756	351.85367991263047	701.0990582774393	586.3242534217425	12.311946245841682
sub-7134056	L	531.4261507354677	47.411978831049055	296.6693829782307	144.80609203875065	375.56695933733135	789.891292097047	560.646768886596	19.45021237572655
sub-7134056	R	633.0831935494207	55.9902901975438	314.1836340338923	158.42457856610417	343.65220782207325	837.5369214322418	617.3141687083989	19.85552447475493
sub-9389605	L	569.4105465225875	54.59787594154477	253.81098171323535	124.4783887732774	338.1348977088928	547.6858371086419	524.5163105409592	7.0714978184551
sub-9389605	R	612.5071057155728	52.51886511966586	284.5669904313981	148.60635840333998	300.9892685748637	546.0359798967838	512.5763034354895	12.76493571139872
sub-6880490	L	485.5683310823515	80.07054252177477	286.5792999975383	102.37699785269795	348.1390131916851	433.71225974336267	457.0153053188697	15.01084253564477
sub-6880490	R	460.63926984462887	112.4621096579358	227.32271162699908	139.8230418274179	249.5385678447783	452.33276168163866	450.2680555768311	9.655958111397922
sub-7607477	L	405.2208666955121	55.94728738116101	222.883159189485	90.51320285256952	217.4186069574207	370.41176434466615	334.2436764910817	12.645717730745671
sub-7607477	R	433.29226197488606	63.40024998039007	245.8047146690078	113.31554907746612	200.28585288254544	381.56021383730695	406.322360208258	28.958312133792788
sub-9096690	L	601.5681045521051	51.064481298439205	319.1756578758359	115.76173428725453	327.3677186537534	627.8752054320648	564.3175930287689	36.21100672148168
sub-9096690	R	551.237952333875	66.79533607512712	333.9623752636835	151.18119148071855	354.4377588378265	755.739064430818	572.9292704239488	31.657212750054896
sub-8206666	L	506.4343911563046	126.39044481050225	269.8707317020744	92.52547314204276	285.8543116841465	285.04368859436363	391.81705463211983	2.112388404551893
sub-8206666	R	490.6463143900037	114.64117837976664	262.002919360064	133.97692325664684	219.00174863263965	317.88822884391993	429.0580330509693	8.330344340298325
sub-7195884	L	559.1250557983294	54.08288104645908	234.6277695195749	87.33751095458865	292.1629522657022	480.6519493460655	496.0680976817384	4.6634683180600405
sub-7195884	R	752.2965946868062	75.76467086467892	194.1633603712544	122.67591965105385	286.7603862080723	409.4315374866128	516.224008295685	10.352136726491151
sub-7108358	L	492.471879132092	37.6271613612771	238.69954005628824	100.64109335839748	291.8858735784888	536.4266596958041	479.8023356348276	16.684506095945835
sub-7108358	R	596.4222171977162	58.32663005590439	222.09609615057707	116.17642369866373	246.82483253628016	509.2374474182725	448.5933923944831	45.73814874887466
sub-8451275	L	613.8898141141981	40.54070310853422	292.6779364971444	115.97158789727835	339.5701117934659	739.369536803104	594.3919389070943	22.187237304635342
sub-8451275	R	618.0859819259495	48.77091406658292	295.97765027638525	154.37606011983007	289.6023362260312	667.147766715847	548.8921283846721	33.71239366941154
sub-6752784	L	345.1827222062275	43.39698790991679	190.5490642641671	99.44447674555704	305.4573836415075	545.4926516776904	352.9790165950544	3.371241671498865
sub-6752784	R	499.76392801478505	59.66191767156124	274.07670267950743	104.06026449380444	159.91701829852536	556.3264014339074	435.2907191882841	6.451612420845777
